"address","category","city","cms","contactability_score","copyright_year","country","email","email_source","has_contact_form","has_ssl","has_tracking","is_permanently_closed","latitude","lead_priority","longitude","maps_url","mobile_friendly","name","opening_hours","opening_hours/0","opening_hours/1","opening_hours/2","opening_hours/3","opening_hours/4","opening_hours/5","opening_hours/6","opportunity_count","opportunity_tags/0","opportunity_tags/1","phone","place_id","price_level","rating","review_count","scraped_at","site_reachable","social_links/facebook","social_links/instagram","social_links/linkedin","social_links/tiktok","social_links/twitter","social_links/youtube","tracking_tools/0","tracking_tools/1","website","website_type"
"2 Dickson Rd, Singapore 209494","Southeast Asian restaurant","2 Dickson Rd","wordpress","100","2026","Singapore 209494","hello@aleeya.com.sg","raw_source","false","true","false","false","1.3051199","hot","103.8546328","https://www.google.com/maps/place/Aleeya+%E2%80%A2+Nusantara+Heritage+Cuisines/data=!4m7!3m6!1s0x31da190075ee6cad:0x635d3399d2531f51!8m2!3d1.3051199!4d103.8546328!16s%2Fg%2F11w4jdk_lp!19sChIJrWzudQAZ2jERUR9T0pkzXWM","true","Aleeya • Nusantara Heritage Cuisines",,"Monday: Closed","Tuesday: 11 AM–10 PM","Wednesday: 11 AM–10 PM","Thursday: 11 AM–10 PM","Friday: 11 AM–10 PM","Saturday: 11 AM–10 PM","Sunday: 11 AM–10 PM","1","no_marketing",,"+65 8299 5500","ChIJrWzudQAZ2jERUR9T0pkzXWM",,"4.8","1251","2026-08-17T12:51:38.942709+00:00","true","https://www.facebook.com/semplicelabs",,,,"https://twitter.com/semplicelabs",,,,"https://www.aleeya.com.sg/","own"
"304 Orchard Rd, #04-61/62, Singapore 238863","Food court","#04-61/62","wordpress","50",,"Singapore 238863",,,"true","true","true","false","1.3045755","cold","103.8340344","https://www.google.com/maps/place/INDONESIA+BOLEH/data=!4m7!3m6!1s0x31da19005009d5df:0xc4786cf40756eece!8m2!3d1.3045755!4d103.8340344!16s%2Fg%2F11xly5wwf3!19sChIJ39UJUAAZ2jERzu5WB_RseMQ","true","INDONESIA BOLEH",,"Monday: 10:30 AM–7:30 PM","Tuesday: 10:30 AM–7:30 PM","Wednesday: 10:30 AM–7:30 PM","Thursday: 10:30 AM–7:30 PM","Friday: 10:30 AM–7:30 PM","Saturday: 10:30 AM–7:30 PM","Sunday: 10:30 AM–7:30 PM","0",,,"+65 8786 3687","ChIJ39UJUAAZ2jERzu5WB_RseMQ",,"4.7","364","2026-08-17T12:51:40.556253+00:00","true",,"https://www.instagram.com/indonesiabolehh",,"https://www.tiktok.com/@indonesiabolehh?_r=1&_t=ZS-97vzm5e6NAS",,,"google_analytics",,"https://www.indonesiabolehh.com/","own"
"304 Orchard Rd, #01-45 Lucky Plaza, Singapore 238863","Indonesian restaurant","#01-45 Lucky Plaza",,"100","2026","Singapore 238863","samantha.lai@cfamsg.com","raw_source","true","true","false","false","1.3045795","hot","103.8340621","https://www.google.com/maps/place/Paris+Van+Java/data=!4m7!3m6!1s0x31da19004bf68a03:0x232bd452cb131835!8m2!3d1.3045795!4d103.8340621!16s%2Fg%2F11trh_0q5w!19sChIJA4r2SwAZ2jERNRgTy1LUKyM","true","Paris Van Java",,"Monday: 11 AM–9 PM","Tuesday: 11 AM–9 PM","Wednesday: 11 AM–9 PM","Thursday: 11 AM–9 PM","Friday: 11 AM–9 PM","Saturday: 11 AM–9 PM","Sunday: 11 AM–9 PM","1","no_marketing",,"+65 6539 9313","ChIJA4r2SwAZ2jERNRgTy1LUKyM",,"4.7","293","2026-08-17T12:51:46.544842+00:00","true","https://www.facebook.com/profile.php?id=100089694045092","https://www.instagram.com/pvj.sg/?hl=en",,,,,,,"https://www.pvj.com.sg/","own"
"10 Eunos Rd 8, B1-130 SingPost Centre, Singapore 408600","Indonesian restaurant","B1-130 SingPost Centre","wordpress","50",,"Singapore 408600",,,"true","true","false","false","1.3189418","warm","103.8944605","https://www.google.com/maps/place/Bebek+Goreng+Pak+Ndut+@SingPost+Centre/data=!4m7!3m6!1s0x31da19005131c12f:0x6273d46dbdf09312!8m2!3d1.3189418!4d103.8944605!16s%2Fg%2F11w37__7bw!19sChIJL8ExUQAZ2jEREpPwvW3Uc2I","true","Bebek Goreng Pak Ndut @SingPost Centre",,"Monday: 11 AM–9:30 PM","Tuesday: 11 AM–9:30 PM","Wednesday: 11 AM–9:30 PM","Thursday: 11 AM–9:30 PM","Friday: 11 AM–9:30 PM","Saturday: 11 AM–9:30 PM","Sunday: 11 AM–9:30 PM","1","no_marketing",,"+65 6513 7787","ChIJL8ExUQAZ2jEREpPwvW3Uc2I",,"4.6","263","2026-08-17T12:51:55.840757+00:00","true","https://www.facebook.com/bebekgorengpakndutSG/","https://www.instagram.com/bebekgorengpakndut_sg/",,"https://www.tiktok.com/@bebekgorengpakndut_sg",,,,,"https://bebekgorengpakndut.com.sg/","own"
"11 Jln Pisang, Singapore 199078","Halal restaurant","11 Jln Pisang",,"40",,"Singapore 199078",,,"false","true","false","false","1.303149","cold","103.8585258","https://www.google.com/maps/place/Hjh+Maimunah+Restaurant+and+Catering/data=!4m7!3m6!1s0x31da19b72d5852b7:0xa32d8c892f4a6229!8m2!3d1.303149!4d103.8585258!16s%2Fg%2F1tkqxsy2!19sChIJt1JYLbcZ2jERKWJKL4mMLaM",,"Hjh Maimunah Restaurant and Catering",,"Monday: 7:30 AM–7 PM","Tuesday: 7:30 AM–7 PM","Wednesday: 7:30 AM–7 PM","Thursday: 7:30 AM–7 PM","Friday: 7:30 AM–7 PM","Saturday: 7:30 AM–7 PM","Sunday: Closed","0",,,"+65 6297 4294","ChIJt1JYLbcZ2jERKWJKL4mMLaM",,"4.5","3357","2026-08-17T12:52:04.333157+00:00","false",,,,,,,,,"https://www.hjmaimunah.com/en_SG","own"
"1 Kim Seng Promenade, B1-110/111 Great World, Singapore 237994","Indonesian restaurant","B1-110/111 Great World","wordpress","100","2016","Singapore 237994","enquiry@tambuahmas.com.sg","mailto_link","true","true","true","false","1.2931253","hot","103.8319286","https://www.google.com/maps/place/Tambuah+Mas+Great+World+%7C+Halal+Indonesian+Restaurant/data=!4m7!3m6!1s0x31da19a543cf7f43:0xca7549d7eacef751!8m2!3d1.2931253!4d103.8319286!16s%2Fg%2F11fq_bb3w1!19sChIJQ3_PQ6UZ2jERUffO6tdJdco","true","Tambuah Mas Great World | Halal Indonesian Restaurant",,"Monday: 11 AM–10 PM","Tuesday: 11 AM–10 PM","Wednesday: 11 AM–10 PM","Thursday: 11 AM–10 PM","Friday: 11 AM–10 PM","Saturday: 11 AM–10 PM","Sunday: 11 AM–10 PM","1","stale_site",,"+65 8711 2181","ChIJQ3_PQ6UZ2jERUffO6tdJdco",,"4.2","454","2026-08-17T12:52:16.747418+00:00","true",,,,,,,"google_analytics",,"http://www.tambuahmas.com.sg/","own"
"6 Eu Tong Sen St, #02-72 to 75/77/92 The Central, Singapore 059817","Indonesian restaurant","#02-72 to 75/77/92 The Central",,"50","2020","Singapore 059817",,,"false","false","false","false","1.289174","warm","103.846216","https://www.google.com/maps/place/Rendezvous+Restaurant+Hock+Lock+Kee/data=!4m7!3m6!1s0x31da190a9bbec0d7:0x35b0563210393588!8m2!3d1.289174!4d103.846216!16s%2Fg%2F11r97xg_w!19sChIJ18C-mwoZ2jERiDU5EDJWsDU","false","Rendezvous Restaurant Hock Lock Kee",,"Monday: 11:30 AM–8:30 PM","Tuesday: 11:30 AM–8:30 PM","Wednesday: 11:30 AM–8:30 PM","Thursday: 11:30 AM–8:30 PM","Friday: 11:30 AM–8:30 PM","Saturday: 11:30 AM–8:30 PM","Sunday: 11:30 AM–8:30 PM","2","stale_site","no_marketing","+65 6339 7508","ChIJ18C-mwoZ2jERiDU5EDJWsDU",,"4.2","648","2026-08-17T12:52:35.137884+00:00","true",,,,,,,,,"http://www.rendezvous-hlk.com.sg/","own"
"3 Temasek Blvd, B1-100 / 101, Singapore 038983","Restaurant","B1-100 / 101","wordpress","100","2022","Singapore 038983","hello@chopstixandrice.com.sg","contact_page","false","true","false","false","1.2950089","hot","103.8599579","https://www.google.com/maps/place/Chopstix+%26+Rice+%7C+Indonesian+Restaurant+%7C+Padang+%7C+Halal+%7C+Suntec+City+SG/data=!4m7!3m6!1s0x31da198cd02537dd:0xa9f2e91e0223bee7!8m2!3d1.2950089!4d103.8599579!16s%2Fg%2F1tg6s6wl!19sChIJ3Tcl0IwZ2jER574jAh7p8qk","true","Chopstix & Rice | Indonesian Restaurant | Padang | Halal | Suntec City SG",,"Monday: 11 AM–9:30 PM","Tuesday: 11 AM–9:30 PM","Wednesday: 11 AM–9:30 PM","Thursday: 11 AM–9:30 PM","Friday: 11 AM–9:30 PM","Saturday: 11 AM–9:30 PM","Sunday: 11 AM–9:30 PM","2","stale_site","no_marketing","+65 8533 7228","ChIJ3Tcl0IwZ2jER574jAh7p8qk",,"4.5","1326","2026-08-17T12:52:45.348394+00:00","true","https://www.facebook.com/chopstixandrice","https://www.instagram.com/chopstixandricesg/",,,,,,,"https://chopstixandrice.com.sg/","own"
"20 Joo Chiat Rd, Singapore 427357","Malaysian restaurant","20 Joo Chiat Rd","shopify","50","2026","Singapore 427357",,,"true","true","true","false","1.3154196","cold","103.8980367","https://www.google.com/maps/place/Hjh+Maimunah+Restaurant+%26+Catering+Pte+Ltd/data=!4m7!3m6!1s0x31da1810c42d7097:0x91ad198fd593675f!8m2!3d1.3154196!4d103.8980367!16s%2Fg%2F1tdxbt4l!19sChIJl3AtxBAY2jERX2eT1Y8ZrZE","true","Hjh Maimunah Restaurant & Catering Pte Ltd",,"Monday: Closed","Tuesday: 8 AM–7 PM","Wednesday: 8 AM–7 PM","Thursday: 8 AM–7 PM","Friday: 8 AM–7 PM","Saturday: 8 AM–7 PM","Sunday: 8 AM–7 PM","0",,,"+65 6348 5457","ChIJl3AtxBAY2jERX2eT1Y8ZrZE",,"4.5","2585","2026-08-17T12:52:50.053752+00:00","true","https://facebook.com/maimunahfoods","http://instagram.com/hjhmaimunahrestaurant",,"https://www.tiktok.com/@hjhmaimunahrestaurant",,,"google_analytics",,"http://www.hjmaimunah.com/","own"
"273 Tanjong Katong Rd, Singapore 437056","Indonesian restaurant","273 Tanjong Katong Rd",,"100",,"Singapore 437056","press@calameo.com","contact_page","false","true","false","false","1.3070829","hot","103.895667","https://www.google.com/maps/place/Ben%E2%80%99s+Kitchen/data=!4m7!3m6!1s0x31da1925bb4e735f:0x779b0d738e506706!8m2!3d1.3070829!4d103.895667!16s%2Fg%2F11k3wmcwxq!19sChIJX3NOuyUZ2jERBmdQjnMNm3c","true","Ben’s Kitchen",,"Monday: 11 AM–3 PM5–9:30 PM","Tuesday: 11 AM–3 PM5–9:30 PM","Wednesday: 11 AM–3 PM5–9:30 PM","Thursday: 11 AM–3 PM5–9:30 PM","Friday: 11 AM–3 PM5–9:30 PM","Saturday: 11 AM–9 PM","Sunday: 11 AM–9 PM","1","no_marketing",,"+65 6015 0232","ChIJX3NOuyUZ2jERBmdQjnMNm3c",,"4.3","378","2026-08-17T12:52:58.370042+00:00","true",,,,,,,,,"https://www.calameo.com/read/008148936b9b0036006e6","own"
"51 Bencoolen St, #01-05, Singapore 189630","Restaurant","#01-05",,"100",,"Singapore 189630","john@oddle.me","raw_source","false","true","true","false","1.2994205","warm","103.8505094","https://www.google.com/maps/place/Putra+Minang+Restaurant+Bencoolen/data=!4m7!3m6!1s0x31da19faa330d147:0x815145de046b9fd8!8m2!3d1.2994205!4d103.8505094!16s%2Fg%2F11p02qpf64!19sChIJR9Ewo_oZ2jER2J9rBN5FUYE","true","Putra Minang Restaurant Bencoolen",,,,,,,,,"0",,,"+65 8262 3535","ChIJR9Ewo_oZ2jER2J9rBN5FUYE",,"4.3","635","2026-08-17T12:53:00.946791+00:00","true",,,,,,,"google_analytics","meta_pixel","https://www.putraminangsg.com/en_SG","own"
"3 Temasek Blvd, Tower 5 #B1-121A 121B, Singapore 038983","Thai restaurant","Tower 5 #B1-121A 121B","wordpress","50","2026","Singapore 038983",,,"false","false","true","false","1.2943391","warm","103.8582311","https://www.google.com/maps/place/Bali+Thai/data=!4m7!3m6!1s0x31da19a8a51c9f51:0x89a50a45338bee19!8m2!3d1.2943391!4d103.8582311!16s%2Fg%2F1tdxyf0w!19sChIJUZ8cpagZ2jERGe6LM0UKpYk","true","Bali Thai",,,,,,,,,"1","stale_site",,"+65 6338 2066","ChIJUZ8cpagZ2jERGe6LM0UKpYk",,"4.7","2508","2026-08-17T12:53:05.057147+00:00","true","https://www.facebook.com/balithaisingapore/",,,,,,"google_analytics",,"http://www.balithai.com.sg/","own"
"7 Fraser St, #01-30/31/32/33 Duo Galleria, Singapore 189356","Malaysian restaurant","#01-30/31/32/33 Duo Galleria","squarespace","100",,"Singapore 189356","info@seroja.sg","structured_data","false","true","true","false","1.2996321","warm","103.8583743","https://www.google.com/maps/place/Seroja/data=!4m7!3m6!1s0x31da192a2e65f5fb:0x42aacaf487964753!8m2!3d1.2996321!4d103.8583743!16s%2Fg%2F11t4dhf54t!19sChIJ-_VlLioZ2jERU0eWh_TKqkI","true","Seroja",,,,,,,,,"0",,,"+65 8522 2926","ChIJ-_VlLioZ2jERU0eWh_TKqkI",,"4.7","263","2026-08-17T12:53:18.236509+00:00","true","http://www.facebook.com/seroja.sg","http://www.instagram.com/seroja.sg",,,,,"google_analytics",,"http://www.seroja.sg/","own"
